GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
alerts,com.safetynet.alerts.utils,Jackson,48,114,0,0,17,32,3,4,3,4
alerts,com.safetynet.alerts.utils,LocalDateFormatter,8,7,1,1,2,2,2,1,1,1
alerts,com.safetynet.alerts.utils,CustomTraceRepository,0,70,0,4,0,14,0,6,0,4
alerts,com.safetynet.alerts.dao,MedicalRecordDaoImpl,0,113,2,8,0,35,2,15,0,12
alerts,com.safetynet.alerts.dao,PersonDaoImpl,0,113,2,8,0,35,2,15,0,12
alerts,com.safetynet.alerts.dao,RootFile,0,57,0,4,0,18,0,8,0,6
alerts,com.safetynet.alerts.dao,DaoImpl,0,13,0,0,0,5,0,3,0,3
alerts,com.safetynet.alerts.dao,FirestationDaoImpl,0,101,1,5,0,33,1,14,0,12
alerts,com.safetynet.alerts.models,CustomErrorResponse,0,65,0,0,0,17,0,11,0,11
alerts,com.safetynet.alerts.models,MedicalRecord,2,143,3,7,0,41,3,17,0,15
alerts,com.safetynet.alerts.models,Firestation,2,58,2,4,0,15,2,9,0,8
alerts,com.safetynet.alerts.models,Person,2,125,3,7,0,33,3,20,0,18
alerts,com.safetynet.alerts.service.rto_models,IPersonInfoRTO,0,39,1,7,0,11,1,5,0,2
alerts,com.safetynet.alerts.service.rto_models,FirestationAreaRTO,0,54,0,2,0,13,0,5,0,4
alerts,com.safetynet.alerts.service.rto_models,IPersonInfoRTO.HumanCategory,3,34,0,0,1,6,1,2,1,2
alerts,com.safetynet.alerts.service.rto_models,PersonInfoRTO,23,259,5,15,4,71,7,34,2,29
alerts,com.safetynet.alerts.service.rto_models,IFirestationAreaRTO,1,0,0,0,1,0,1,0,1,0
alerts,com.safetynet.alerts.rest,CustomErrorController,0,43,0,0,0,9,0,5,0,5
alerts,com.safetynet.alerts.rest,HelloController,0,5,0,0,0,2,0,2,0,2
alerts,com.safetynet.alerts.rest,AdminPersonController,0,163,0,10,0,37,0,12,0,7
alerts,com.safetynet.alerts.rest,AdminFirestationController,0,146,0,10,0,37,0,12,0,7
alerts,com.safetynet.alerts.rest,HTMLHomeController,0,19,0,0,0,8,0,6,0,6
alerts,com.safetynet.alerts.rest,AdminMedicalRecordController,0,163,0,10,0,40,0,12,0,7
alerts,com.safetynet.alerts.rest.publicmicroservices,PublicAppController,0,200,1,15,0,46,1,17,0,10
alerts,com.safetynet.alerts.configuration,HttpTraceActuatorConfiguration,0,7,0,0,0,2,0,2,0,2
alerts,com.safetynet.alerts.configuration,TraceRequestFilter,0,10,0,0,0,3,0,2,0,2
alerts,com.safetynet.alerts.configuration,WebMvcConfig,0,18,0,0,0,4,0,2,0,2
alerts,com.safetynet.alerts.configuration,AlertsProperties,0,13,0,0,0,3,0,3,0,3
alerts,com.safetynet.alerts.configuration,WebConfig,24,0,0,0,8,0,3,0,3,0
alerts,com.safetynet.alerts.service,PhoneAlertService,0,67,0,4,0,20,0,7,0,5
alerts,com.safetynet.alerts.service,ChildAlertService,0,63,0,4,0,18,0,6,0,4
alerts,com.safetynet.alerts.service,CommunityEmailService,0,37,0,2,0,12,0,5,0,4
alerts,com.safetynet.alerts.service,FloodStationsService,0,83,1,5,0,25,1,7,0,5
alerts,com.safetynet.alerts.service,FirestationAreaService,0,84,1,5,0,24,1,7,0,5
alerts,com.safetynet.alerts.service,FireAddressService,0,85,1,5,0,23,1,6,0,4
alerts,com.safetynet.alerts.service,PersonInfoService,0,122,4,12,0,31,4,9,0,5
alerts,com.safetynet.alerts,AlertsApplication,5,34,0,2,2,8,1,4,1,3
